,bike_name,price,kms_driven,owner,age,power,city_code,brand_code
24515,Bajaj Avenger Street,80000,7127,0,5,220,7,6
24516,Bajaj Platina 100cc,23000,20000,0,6,100,17,6
24517,Suzuki Slingshot Plus,32000,22697,0,7,125,17,7
24518,Yamaha SZ-RR 150cc,20000,52000,0,10,150,211,3
24519,Bajaj Avenger Street,55005,6600,0,5,220,85,6
24520,Royal Enfield Classic,87000,16336,0,7,350,104,1
24521,Royal Enfield Thunderbird,70000,13858,1,11,350,3,1
24522,Suzuki Zeus 125cc,35000,11885,0,12,125,0,7
24523,KTM RC 390cc,196700,13216,0,4,390,3,9
24524,Bajaj Pulsar 150cc,25000,32588,0,9,150,1,6
24525,Yamaha Fazer 25,123000,14500,0,4,250,387,3
24526,Royal Enfield Classic,95500,18000,0,8,350,1,1
24527,Hero Passion Pro,32000,12000,0,6,100,1,5
24528,Bajaj Avenger 220cc,41000,20245,1,11,220,1,6
24529,Hero Passion 100cc,15000,35000,1,19,100,388,5
24530,Hero Passion Pro,39000,22000,0,4,100,1,5
24531,TVS Apache RTR,30000,6639,0,9,180,19,0
24532,Bajaj Avenger Street,60000,20373,0,6,220,1,6
24533,Hero Super Splendor,15600,84186,0,16,125,18,5
24534,Bajaj Pulsar 150cc,22000,60857,0,13,150,10,6
24535,Bajaj Platina 100cc,23000,20000,0,6,100,17,6
24536,Suzuki Slingshot Plus,32000,22697,0,7,125,17,7
24537,Yamaha SZ-RR 150cc,20000,52000,0,10,150,211,3
24538,Bajaj Avenger Street,55005,6600,0,5,220,85,6
24539,Royal Enfield Classic,87000,16336,0,7,350,104,1
24540,Royal Enfield Thunderbird,70000,13858,1,11,350,3,1
24541,Suzuki Zeus 125cc,35000,11885,0,12,125,0,7
24542,KTM RC 390cc,196700,13216,0,4,390,3,9
24543,Bajaj Pulsar 150cc,25000,32588,0,9,150,1,6
24544,Yamaha Fazer 25,123000,14500,0,4,250,387,3
24545,Royal Enfield Classic,95500,18000,0,8,350,1,1
24546,Hero Passion Pro,32000,12000,0,6,100,1,5
24547,Bajaj Avenger 220cc,41000,20245,1,11,220,1,6
24548,Hero Passion 100cc,15000,35000,1,19,100,388,5
24549,Hero Passion Pro,39000,22000,0,4,100,1,5
24550,TVS Apache RTR,30000,6639,0,9,180,19,0
24551,Bajaj Avenger Street,60000,20373,0,6,220,1,6
24552,Hero Super Splendor,15600,84186,0,16,125,18,5
24553,Bajaj Pulsar 150cc,22000,60857,0,13,150,10,6
24554,Yamaha FZ 150cc,45000,18742,0,6,150,30,3
24555,Honda CB Trigger,43000,42837,0,8,150,2,4
24556,Yamaha YZF-R15 2.0,55000,27000,0,9,150,209,3
24557,Hero CBZ Xtreme,11900,34968,0,14,150,11,5
24558,Royal Enfield Bullet,105000,20000,0,4,350,1,1
24559,Hero Passion 100cc,18000,3869,0,16,100,7,5
24560,Bajaj Pulsar NS200,48000,41939,0,8,200,14,6
24561,Bajaj Avenger 220cc,50000,29134,0,7,220,2,6
24562,Hero Hunk Rear,25000,48587,0,8,150,1,5
24563,Bajaj Avenger Street,70000,8000,0,5,220,3,6
24564,Honda CB Hornet,87000,140,0,3,160,10,4
24565,Bajaj Pulsar 150cc,10000,64955,0,15,150,38,6
24566,Yamaha Fazer 150cc,25000,65000,0,12,150,1,3
24567,Hero CD Deluxe,18000,22824,0,8,100,30,5
24568,Bajaj Pulsar 150cc,14227,36000,0,15,150,41,6
24569,Bajaj Avenger 220cc,35000,60000,0,9,220,2,6
24570,Harley-Davidson Street 750,450000,3430,0,4,750,184,14
24571,Bajaj Dominar 400,139000,21300,0,4,400,7,6
24572,Bajaj Avenger Street,80000,7127,0,5,220,7,6
24573,Bajaj Platina 100cc,23000,20000,0,6,100,17,6
24574,Suzuki Slingshot Plus,32000,22697,0,7,125,17,7
24575,Yamaha SZ-RR 150cc,20000,52000,0,10,150,211,3
24576,Bajaj Avenger Street,55005,6600,0,5,220,85,6
24577,Royal Enfield Classic,87000,16336,0,7,350,104,1
24578,Royal Enfield Thunderbird,70000,13858,1,11,350,3,1
